invoice_number,vendor_id,delivery_method,menu_items,invoice_date,tax,total,customer_id
43190,2,pickup,Louisiana Voodoo Fries Regular,2023-01-01,0.05750,4.85,8020
43191,2,pickup,15 Wings Classic,2023-01-01,0.06000,18.54,3466
43192,2,pickup,Veggie Sticks Celery Only,2023-01-01,0.06250,1.90,7903
43193,1,delivery,Ketchup Packet|Steak Egg Cheese McGriddle|3 Pack Of Cookies,2023-01-01,0.05600,8.74,8092
43194,1,delivery,Double Quarter Pounder With Cheese Meal,2023-01-01,0.04000,10.91,9876
43195,2,pickup,7 Crispy Tenders|30 Wings Boneless|Iced Tea 32oz,2023-01-01,0.06625,47.63,9639
43196,3,delivery,Mild Sauce Packet|Grande Toasted Breakfast Burrito Steak|Guacamole,2023-01-01,0.05750,5.01,4878
43197,1,pickup,Strawberry Preserve|Medium Caramel Mocha,2023-01-01,0.06100,3.70,4871
43198,2,delivery,Soft Drinks 20oz,2023-01-01,0.06350,2.86,53
43199,1,pickup,4 Piece McNuggets|Egg Cheese Biscuit,2023-01-01,0.02900,5.74,7642
43200,2,pickup,50pc Party Pack Boneless|Veggie Sticks,2023-01-01,0.06250,60.54,7223
43201,1,delivery,Bacon Egg Cheese Biscuit Meal|Crispy Chicken Sandwich,2023-01-01,0.00000,11.28,6341
43202,2,delivery,Cheese Fries Regular,2023-01-02,0.04750,3.66,6767
43203,1,delivery,Scrambled Eggs|Strawberry Preserve|Medium Iced Mocha,2023-01-02,0.05600,5.68,5314
43204,2,delivery,Large 10 pc Wing Combo Boneless,2023-01-02,0.04450,12.84,7555
43205,3,pickup,Regular Iced Coffee|Crunchwrap Supreme Combo,2023-01-02,0.06350,12.00,1525
43206,2,pickup,Iced Tea 20oz,2023-01-02,0.05750,2.84,542
43207,1,pickup,Spicy Crispy Chicken Sandwich Meal|Medium Premium Roast Coffee,2023-01-02,0.06100,10.59,8801
43208,3,delivery,Grande Toasted Breakfast Burrito Combo,2023-01-02,0.06875,6.08,5268
43209,1,delivery,Medium Premium Hot Chocolate|Deluxe Crispy Chicken Sandwich|Double Quarter Pounder With Cheese,2023-01-02,0.06875,16.53,4294
43210,3,pickup,Classic Combo,2023-01-02,0.05500,5.28,7551
43211,2,pickup,Medium 8 pc Wing Combo Classic|7 Crispy Tenders,2023-01-02,0.04500,25.90,9320
43212,2,delivery,Louisiana Voodoo Fries Large|Large 5 pc Crispy Tender Combo|40pc Group Pack Boneless,2023-01-02,0.06250,65.95,4566
43213,2,pickup,16pc Crispy Tender Pack,2023-01-02,0.05000,33.38,1440
43214,1,delivery,Medium Premium Roast Coffee|English McMuffin|Chicken McGriddle,2023-01-02,0.06100,7.40,910
43215,2,delivery,Cajun Friend Corn Large|100pc Pack Boneless,2023-01-02,0.06100,122.63,4234
43216,3,delivery,Spicy Double Steak Grilled Cheese Burrito|Mild Sauce Packet,2023-01-02,0.05750,7.39,5599
43217,3,delivery,Hot Cinnamon Delights Coffee|Creamy Jalapeno Sauce,2023-01-02,0.02900,2.46,1896
43218,3,delivery,Grande Toasted Breakfast Burrito Steak|Wild Cherry Freeze|Hot Cinnabon Delights Coffee,2023-01-02,0.05300,10.71,1780
43219,1,delivery,Medium Sprite|Steak Egg Cheese McGriddle|Sausage Egg Biscuit,2023-01-02,0.04750,12.12,4901
43220,2,delivery,100 Wings Mix & Match|15pc Meal for 2 Mix & Match,2023-01-02,0.05500,147.78,5288
43221,3,pickup,Breakfast Crunchwrap Bacon|Breakfast Quesadilla Combo,2023-01-02,0.05600,8.74,9985
43222,3,delivery,Cup Of Water|Mtn Dew Baja Blast Freeze,2023-01-02,0.05000,4.08,3620
43223,1,pickup,Ranch Dressing,2023-01-02,0.05300,0.00,5578
43224,1,delivery,Hotcakes|Spicy Deluxe Crispy Chicken Sandwich Meal|4 Piece McNuggets,2023-01-02,0.07000,16.45,4692
43225,1,pickup,Sausage Egg Cheese McGriddle|Medium Vanilla Cappuccino,2023-01-02,0.06350,8.59,5237
43226,3,delivery,Crispy Melt Taco,2023-01-02,0.07250,2.78,5024
43227,1,delivery,10 Pieces McNuggets Meal|Daily Double|(1) 10 Pieces McNuggets Meal,2023-01-02,0.06350,22.09,166
43228,1,pickup,Apple Fritter|Medium Iced Caramel Latte,2023-01-02,0.05300,6.19,698
43229,1,pickup,2 Large Fries,2023-01-02,0.06625,5.43,5273
43230,2,delivery,50pc Party Pack Boneless|15pc Meal for 2 Classic,2023-01-02,0.02900,82.61,8119
43231,1,pickup,Sausage Egg McMuffin Meal|Sausage Burrito|Biscuit,2023-01-02,0.06350,10.18,8084
43232,2,pickup,15 Wings Classic|50pc Party Pack Boneless|30pc Crew Pack Boneless,2023-01-02,0.02900,109.35,313
43233,1,pickup,Pepper Packet,2023-01-02,0.05300,0.00,2458
43234,3,delivery,Nacho Cheese Sauce,2023-01-02,0.06100,0.85,404
43235,3,pickup,Burrito Supreme Cravings Trio|Bell Breakfast Box,2023-01-02,0.06250,11.69,1270
43236,3,pickup,Grande Toasted Breakfast Burrito Sausage|Crunchwrap Supreme|Doritos Cheesy Gordita Crunch Nacho Cheese,2023-01-02,0.05500,14.32,6076
43237,3,pickup,Power Menu Bowl,2023-01-02,0.04225,7.49,2993
43238,1,delivery,Medium Sweet Iced Tea|Deluxe Crispy Chicken Sandwich,2023-01-02,0.04225,7.38,8070
43239,2,delivery,75 Wings Boneless|Medium 8 pc Wing Combo Boneless,2023-01-02,0.06850,89.31,8499
43240,3,pickup,Black Bean Crunchwrap Supreme|3 Crunchy Tacos Supreme Combo,2023-01-02,0.06100,15.26,7256
43241,3,pickup,Diablo Sauce Packet|Chalupa Supreme,2023-01-02,0.05500,5.05,8271
43242,2,pickup,Medium 8 pc Wing Combo Classic|30 Wings Mix & Match,2023-01-02,0.06500,51.31,6068
43243,3,pickup,Crunchwrap Supreme Cravings Trio|Mexican Pizza Combo|Nachos BellGrande,2023-01-02,0.04000,22.24,3494
43244,3,delivery,Red Sauce|Mexican Pizza|Burrito Supreme,2023-01-02,0.06350,11.09,4060
43245,1,pickup,2 Half Strips Bacon|Big Mac,2023-01-02,0.06500,7.43,2920
43246,2,delivery,Buffalo Ranch Fries Regular|30 Wings Boneless,2023-01-02,0.06250,36.64,7760
43247,1,pickup,Sausage Egg Cheese Bagel|Medium Premium Hot Chocolate,2023-01-02,0.04450,8.13,5609
43248,2,delivery,Iced Tea 32oz,2023-01-02,0.06000,3.49,6845
43249,3,pickup,Classic Combo,2023-01-02,0.06100,5.30,7536
43250,2,delivery,15pc Meal for 2 Mix & Match|100 Wings Boneless|20 Wings Classic,2023-01-02,0.06100,157.21,9315
43251,2,pickup,100 Wings Boneless|100 Wings Mix & Match,2023-01-02,0.02900,221.32,4351
43252,3,pickup,Diet Pepsi|Mtn Dew Baja Blast Freeze,2023-01-02,0.06625,7.23,1971
43253,2,delivery,Medium 8 pc Wing Combo Classic|100pc Pack Classic|Medium 8 pc Wing Combo Boneless,2023-01-02,0.02900,157.92,5567
43254,2,delivery,40pc Group Pack Boneless,2023-01-02,0.07000,47.18,3578
43255,1,pickup,6 Piece McNuggets,2023-01-02,0.04500,3.02,9585
43256,2,delivery,100pc Pack Mix & Match|Medium 8 pc Wing Combo Classic,2023-01-02,0.06250,153.40,2639
43257,1,delivery,Sausage Egg Cheese Bagel Meal|Quarter Pounder With Cheese,2023-01-02,0.04500,11.89,5895
43258,3,delivery,Mild Sauce Packet|Grande Toasted Breakfast Burrito Steak,2023-01-02,0.06850,4.26,9102
43259,3,pickup,Cup Of Water|Breakfast Quesadilla Steak|3 Soft Tacos Supreme Combo,2023-01-02,0.06350,14.12,9201
43260,3,pickup,Brisk Dragon Paradise Sparkling Iced Tea|Cheese Quesadilla|Black Bean Chalupa Supreme,2023-01-02,0.06875,10.87,4783
43261,3,delivery,Breakfast Salsa,2023-01-02,0.06100,0.00,9113
43262,3,pickup,Bell Breakfast Box|Mug Root Beer (Medium)|Orange Juice,2023-01-02,0.06350,11.46,8074
43263,1,pickup,Hot N Spicy McChicken Biscuit|Hot Mustard Dipping Sauce,2023-01-02,0.05000,1.77,6488
43264,2,pickup,15pc Meal for 2 Classic|20 Crispy Tenders|50pc Party Pack Boneless,2023-01-02,0.05750,120.52,5096
43265,1,pickup,Medium Hazelnut Cappuccino,2023-01-02,0.05500,3.47,3754
43266,3,delivery,Diet Pepsi,2023-01-02,0.05600,3.05,8591
43267,3,delivery,Steak Quesadilla|Burrito Supreme Combo|Mtn Dew Baja Blast Freeze,2023-01-02,0.05000,20.76,7746
43268,2,delivery,100 Wings Boneless|Cheese Fries Large|8 pc Meal for 2 – Crispy Tenders,2023-01-02,0.06500,133.84,3520
43269,1,pickup,Big Breakfast|Medium Iced Hazelnut Latte|Blueberry Muffin,2023-01-02,0.07000,11.74,4982
43270,2,pickup,30pc Crew Pack Boneless|100pc Pack Classic|Large 10 pc Wing Combo Mix & Match,2023-01-02,0.05000,188.97,4390
43271,1,delivery,Medium Frozen Fanta (Wild Cherry)|Sausage McGriddle|Medium Pumpkin Latte,2023-01-02,0.04450,9.79,4758
43272,2,delivery,20 Wings Classic|100pc Pack Classic|30pc Crew Pack Mix & Match,2023-01-02,0.07250,209.64,8400
43273,2,delivery,Triple Chocolate Chunk Brownie|30 Crispy Tenders|40pc Group Pack Mix & Match,2023-01-02,0.07250,107.11,798
43274,2,pickup,50pc Party Pack Boneless|40pc Group Pack Classic|20 Wings Boneless,2023-01-02,0.06850,137.38,270
43275,2,pickup,30pc Crew Pack Boneless|Seasoned Fries Regular,2023-01-02,0.05600,38.42,9748
43276,2,pickup,16pc Crispy Tender Pack|75pc Pack Mix & Match|4 Crispy Tenders,2023-01-02,0.06350,147.90,6692
43277,3,delivery,Brisk Mango Fiesta,2023-01-02,0.05750,3.06,1641
43278,2,pickup,50pc Party Pack Classic|100 Wings Mix & Match|Small 6 pc Wing Combo Boneless,2023-01-02,0.00000,189.67,8859
43279,1,pickup,Regular Oreo McFlurry|Double Hamburger|Holiday Pie,2023-01-02,0.06100,8.99,3849
43280,3,pickup,3 Doritos Locos Tacos Supreme Combo,2023-01-02,0.06500,10.85,390
43281,2,delivery,50 Wings Boneless|40pc Group Pack Boneless|30pc Crew Pack Mix & Match,2023-01-02,0.06000,144.02,5709
43282,2,delivery,20 Wings Mix & Match|24pc Family Pack Boneless,2023-01-02,0.06625,53.93,9577
43283,2,delivery,10 Wings Classic|15 Wings Mix & Match,2023-01-02,0.06625,31.33,7855
43284,1,delivery,Milk|Filet O Fish|Medium Chocolate Shake,2023-01-02,0.04500,10.52,2657
43285,3,delivery,Mtn Dew Baja Blast Zero Sugar|Spicy Potato Soft Taco,2023-01-02,0.04450,4.06,94
43286,1,delivery,Double Quarter Cheese Deluxe Meal|Honey Mustard Packet|Sweet N Sour Dipping Sauce,2023-01-02,0.06000,10.59,8930
43287,3,pickup,Fiesta Veggie Burrito,2023-01-02,0.06250,2.12,8037
43288,3,delivery,Crunchwrap Supreme Cravings Trio|Steak Quesadilla,2023-01-02,0.04450,11.79,492
43289,3,pickup,Spicy Potato Soft Taco,2023-01-02,0.04500,1.04,2860
43290,2,pickup,Cheese Fries Regular|100 Wings Classic|24pc Family Pack Classic,2023-01-02,0.05750,161.77,2557
43291,2,delivery,10 Wings Boneless|30pc Crew Pack Boneless|Large 10 pc Wing Combo Boneless,2023-01-02,0.05750,59.72,2756
43292,3,delivery,Cinnabon Delights 2 Pack,2023-01-02,0.07250,2.13,6854
43293,1,delivery,Egg Cheese Biscuit,2023-01-02,0.00000,3.39,8194
43294,3,delivery,Mtn Dew Baja Blast Zero Sugar,2023-01-02,0.06000,3.06,6663
43295,1,delivery,Honest Kids Organic Apple Juice,2023-01-02,0.05500,1.57,6685
43296,1,delivery,Medium Chocolate Shake|Egg Biscuit Meal|13 Cookie Tote,2023-01-02,0.06875,14.40,2652
43297,3,delivery,Diet Mountain Dew (Large),2023-01-02,0.06875,3.09,609
43298,2,delivery,50pc Party Pack Boneless,2023-01-02,0.06850,58.97,7007
43299,3,pickup,Bell Breakfast Box,2023-01-02,0.05750,6.35,913
43300,3,pickup,Orange Juice|3 Doritos Locos Tacos Combo,2023-01-02,0.06850,11.63,5309
43301,2,pickup,Buffalo Ranch Fries Large|10 Wings Classic|75 Wings Boneless,2023-01-02,0.04450,96.58,2450
43302,3,delivery,Mild Sauce Packet|3 Soft Tacos Combo,2023-01-03,0.04500,7.72,893
43303,3,pickup,White Hot Ranch Fries Burrito Veggie|Cheesy Toasted Breakfast Burrito Bacon,2023-01-03,0.04500,4.68,9600
43304,2,pickup,30 Crispy Tenders|Large 10 pc Wing Combo Mix & Match|75pc Pack Mix & Match,2023-01-03,0.06625,170.89,3255
43305,3,pickup,Cheesy Gordita Crunch|Chicken Quesadilla Combo,2023-01-03,0.06875,16.01,1306
43306,2,delivery,75pc Pack Classic|100pc Pack Mix & Match|Cheese Fries Large,2023-01-03,0.06000,251.19,3844
43307,2,delivery,100 Wings Classic,2023-01-03,0.05000,120.74,7492
43308,3,pickup,Mexican Pizza,2023-01-03,0.06875,5.33,2598
43309,3,delivery,Breakfast Quesadilla Steak|Beefy 5-Layer Burrito,2023-01-03,0.05000,7.64,8710
43310,2,pickup,30 Wings Boneless|75pc Pack Boneless|30 Wings Classic,2023-01-03,0.04750,154.58,9738
43311,3,delivery,Crispy Chicken Wings|Black Beans And Rice,2023-01-03,0.04500,9.18,218
43312,1,pickup,Quarter Pounder With Cheese Deluxe Meal|Medium French Fries,2023-01-03,0.06625,13.20,4019
43313,1,pickup,Sausage Egg Cheese Bagel Meal|Medium Iced French Vanilla Latte,2023-01-03,0.04225,9.88,679
43314,1,pickup,Medium Iced Coffee|Medium Frozen Fanta (Blue Raspberry)|10 Piece McNuggets Meal,2023-01-03,0.05750,14.46,1114
43315,3,pickup,Cheesy Roll Up,2023-01-03,0.06250,1.06,2835
43316,2,pickup,20 Wings Mix & Match|Seasoned Fries Regular,2023-01-03,0.06000,27.33,2268
43453,1,delivery,10 Piece McNuggets|Tangy BBQ Dipping Sauce|Double Cheeseburger,2023-01-04,0.06250,8.37,2794
43317,3,delivery,Blue Raspberry Electric Strawberry Freeze|Black Beans And Rice|Cheesy Roll Up,2023-01-03,0.06000,7.08,8870
43318,2,delivery,Cajun Friend Corn Large,2023-01-03,0.05300,5.47,6525
43319,1,delivery,10 Piece McNuggets Meal|Medium Iced French Vanilla Latte,2023-01-03,0.06875,13.02,9270
43320,2,delivery,50pc Party Pack Classic|30pc Crew Pack Mix & Match,2023-01-03,0.06850,114.31,4558
43321,1,delivery,Medium Caramel Frappe,2023-01-03,0.06500,4.25,3502
43322,2,delivery,Small 6 pc Wing Combo Mix & Match|75 Wings Mix & Match,2023-01-03,0.07000,103.77,8071
43323,3,pickup,Diet Pepsi,2023-01-03,0.04750,3.03,801
43324,1,delivery,Pepper Packet|English McMuffin,2023-01-03,0.06625,1.80,7001
43325,3,delivery,Avocado Ranch Sauce,2023-01-03,0.07000,0.21,8671
43326,3,delivery,Wild Cherry Electric Strawberry Freeze,2023-01-03,0.07000,4.16,6691
43327,1,pickup,Medium Premium Roast Coffee|Medium Mocha Frappe,2023-01-03,0.04225,6.23,5154
43328,1,delivery,Bacon Egg Cheese Bagel Meal,2023-01-03,0.06100,5.72,4764
43329,2,pickup,24pc Family Pack Classic|Buffalo Ranch Fries Regular|Seasoned Fries Large,2023-01-03,0.04500,45.64,1984
43330,3,pickup,Variety Taco Party Pack|Breakfast Quesadilla Sausage|Chalupa Supreme,2023-01-03,0.04500,36.23,8072
43331,2,pickup,Small 6 pc Wing Combo Classic|24pc Family Pack Mix & Match,2023-01-03,0.05750,48.62,3490
43332,3,pickup,Cheesy Gordita Crunch|Chicken Chipotle Melt,2023-01-03,0.06100,7.51,4010
43333,1,delivery,English McMuffin,2023-01-03,0.07000,1.81,8893
43334,3,pickup,Veggie Mexican Pizza|Fiesta Veggie Burrito|Brisk Dragon Paradise Sparkling Iced Tea,2023-01-03,0.00000,9.88,7034
43335,1,delivery,Egg Biscuit Meal|Steak Egg Cheese Bagel Meal,2023-01-03,0.00000,10.28,2026
43336,1,pickup,Hot & Spicy Chicken McGriddle|10 Piece McNuggets Meal,2023-01-03,0.06350,12.63,777
43337,2,pickup,Medium 8 pc Wing Combo Mix & Match,2023-01-03,0.05500,14.02,5010
43338,2,delivery,Veggie Sticks Carrots Only|100pc Pack Classic,2023-01-03,0.06000,140.85,5280
43339,1,pickup,Regular M&M McFlurry|Sausage Biscuit|2 Sausage Burrito Meal,2023-01-03,0.05750,13.40,5202
43340,2,pickup,7 Crispy Tenders|30 Wings Boneless,2023-01-03,0.05500,43.66,3986
43341,1,delivery,Medium Iced Hazelnut Latte|Bacon Egg Cheese Biscuit,2023-01-03,0.06625,8.40,3959
43342,1,delivery,Hot & Spicy Chicken McGriddle|McChicken|Grape Jam,2023-01-03,0.04225,6.34,5641
43343,2,pickup,Medium 8 pc Wing Combo Classic|7 Crispy Tenders,2023-01-03,0.04225,25.83,1226
43344,1,delivery,Quarter Pounder With Cheese|2 Sausage Burrito Meal,2023-01-03,0.07250,11.56,5775
43345,2,delivery,75 Wings Mix & Match|15 Wings Boneless,2023-01-03,0.04450,105.89,8961
43346,2,pickup,Louisiana Voodoo Fries Regular|10 Wings Boneless,2023-01-03,0.06100,16.11,1357
43347,1,delivery,Medium Iced Hazelnut Latte|Medium Mocha Frappe|McChicken Biscuit Meal,2023-01-03,0.05750,12.66,1146
43348,2,pickup,50pc Party Pack Boneless,2023-01-03,0.06000,58.50,5980
43349,2,pickup,4 Crispy Tenders|Soft Drinks 20oz|Cheese Fries Regular,2023-01-03,0.05300,14.08,4065
43350,2,pickup,7 Crispy Tenders|75pc Pack Mix & Match,2023-01-03,0.05750,118.00,9402
43351,2,pickup,Large 10 pc Wing Combo Mix & Match|30pc Crew Pack Classic,2023-01-03,0.05500,59.80,846
43352,1,delivery,Medium Coke|Medium Hazelnut Latte,2023-01-03,0.04000,5.28,1113
43353,2,pickup,30pc Crew Pack Boneless|8 pc Meal for 2 – Crispy Tenders|Louisiana Voodoo Fries Large,2023-01-03,0.04450,62.12,4949
43354,1,delivery,Regular M&M McFlurry|Medium Decaf Coffee|Medium French Fries,2023-01-03,0.06500,10.51,1185
43355,1,pickup,1 Cookie,2023-01-03,0.06000,2.11,8268
43356,1,pickup,3 Pack Of Cookies|Quarter Pounder With Cheese Deluxe,2023-01-03,0.06250,8.69,3595
